client;date;flg_eletricidade_ativo;flg_gas_ativo;flg_easy_ativo;flg_smart_ativo;flg_full_ativo;potencia_contratada;qtd_os_packs;qtd_os_packs_abertas;qtd_os_excl_packs;qtd_os_excl_packs_abertas;qtd_pi;qtd_pi_aberto;qtd_po;qtd_po_aberto;qtd_rec_aberto;eletricidade_yrsrecensy;gas_yrsrecensy;contract_days;escalao_consumo;flg_deb_direto;flg_fatura_eletronica;divida_total;churn_label
203;01/01/2022;1;1;0;0;1;3.45;1;0;0;0;1;0;8;0;0;9.038;9.038;16;1;1;0;23.95;0
295;01/12/2020;1;1;0;1;0;3.45;1;0;0;0;0;0;7;0;0;7.831;7.831;314;1;1;0;7.9;1
333;01/06/2021;1;0;0;1;0;6.9;2;2;0;0;2;0;7;0;0;8.212;null;148;null;1;1;0;0
412;01/02/2022;1;1;0;1;0;6.9;4;2;0;0;2;0;10;0;0;8.599;8.599;588;1;1;0;7.9;0
427;01/12/2020;1;0;0;1;0;6.9;0;0;0;0;0;0;1;0;0;7.376;null;313;null;1;1;0;1
475;01/04/2022;1;1;0;0;1;6.9;5;1;0;0;3;0;9;0;0;8.489;3.567;268;2;1;1;13.9;0
547;01/11/2021;1;0;0;1;0;5.75;2;2;0;0;0;0;2;0;0;7.863;null;35;null;1;0;7.9;0
576;01/02/2022;1;0;0;0;1;10.35;5;4;1;0;7;2;16;0;0;8.046;null;368;null;1;1;83.4;0
583;01/12/2021;0;0;0;1;0;null;3;1;0;0;2;0;17;0;0;7.86;null;61;null;0;1;21.8;0
588;01/07/2021;1;0;1;0;0;3.45;0;0;0;0;3;0;9;0;0;7.441;null;584;null;0;1;65.32;0
636;01/12/2021;1;0;0;1;0;13.8;4;2;0;0;1;0;2;0;0;7.777;null;490;null;1;0;0;0
695;01/04/2021;1;0;0;1;0;6.9;0;0;6;0;11;0;22;0;0;6.97;null;339;null;0;0;0;0
719;01/03/2021;1;0;0;0;1;6.9;2;0;0;0;0;0;6;0;0;6.772;null;98;null;0;0;81.19;0
828;01/02/2022;1;0;0;1;0;6.9;4;2;0;0;5;0;3;0;0;7.376;null;169;null;1;1;0;0
861;01/11/2020;0;0;0;1;0;null;0;0;0;0;0;0;1;0;0;6.046;null;423;null;1;1;7.9;1
934;01/01/2021;1;0;0;1;0;6.9;0;0;0;0;1;0;4;0;0;6.04;null;270;null;1;1;0;0
939;01/05/2021;1;1;0;1;0;3.45;0;0;0;0;0;0;2;0;0;6.371;6.358;613;1;0;0;56.2;0
967;01/11/2021;1;1;0;0;1;6.9;4;2;0;0;0;0;42;0;0;6.847;6.852;356;3;1;1;0;0
978;01/11/2020;1;0;1;0;0;6.9;0;0;0;0;8;0;10;0;0;5.796;null;88;null;1;1;9.8;0
1129;01/11/2020;1;0;0;1;0;6.9;0;0;3;1;5;0;20;0;0;5.513;null;39;null;1;1;102.94;0
1134;01/02/2022;1;0;1;0;0;4.6;0;0;0;0;4;0;5;0;0;6.758;null;265;null;1;0;0;0
1192;01/02/2021;1;0;0;0;1;6.9;2;2;0;0;4;0;18;0;0;5.543;null;370;null;1;0;135.32;0
1288;01/09/2021;1;1;0;0;1;6.9;2;0;0;0;2;0;14;0;0;5.823;5.75;582;2;0;1;0;0
1310;01/01/2022;1;1;0;0;1;3.45;1;0;0;0;2;0;13;0;0;6.078;6.073;288;2;0;0;42.64;0
1387;01/06/2021;1;1;0;0;1;6.9;0;0;11;0;0;0;19;0;0;5.266;0.642;235;1;1;1;0;0
1407;01/11/2021;1;0;0;1;0;6.9;2;0;0;0;0;0;7;0;0;5.608;null;255;null;1;0;0;0
1483;01/12/2020;1;0;0;0;1;3.45;2;0;2;0;0;0;3;1;0;4.392;null;6;null;0;0;36.73;1
1581;01/02/2022;1;0;0;0;1;3.45;2;0;0;0;1;0;6;0;0;5.239;null;497;null;0;1;0;1
1981;01/02/2022;1;0;0;1;0;3.45;2;0;0;0;0;0;4;0;0;3.503;null;649;null;0;0;36.39;1
2009;01/03/2022;1;0;0;0;1;5.75;3;3;0;0;3;0;4;0;0;3.489;null;125;null;1;0;0;0
2062;01/09/2021;1;0;1;0;0;13.8;1;0;0;0;2;0;8;0;0;2.82;null;258;null;0;0;0;0
2115;01/06/2021;0;0;0;0;1;null;0;0;0;0;6;0;17;0;0;2.355;null;672;null;0;0;38.7;0
2128;01/10/2021;0;1;0;0;1;null;2;2;1;0;0;0;8;0;0;2.642;2.637;606;null;1;1;12.9;0
2295;01/12/2020;1;0;0;1;0;6.9;0;0;0;0;3;0;45;2;0;1.414;null;22;null;0;0;0;0
2336;01/05/2021;1;1;0;1;0;6.9;2;2;1;0;5;0;8;0;0;1.694;1.718;425;2;1;1;7.9;0
