client;date;flg_eletricidade_ativo;flg_gas_ativo;flg_easy_ativo;flg_smart_ativo;flg_full_ativo;potencia_contratada;qtd_os_packs;qtd_os_packs_abertas;qtd_os_excl_packs;qtd_os_excl_packs_abertas;qtd_pi;qtd_pi_aberto;qtd_po;qtd_po_aberto;qtd_rec_aberto;eletricidade_yrsrecensy;gas_yrsrecensy;contract_days;escalao_consumo;flg_deb_direto;flg_fatura_eletronica;divida_total;churn_label
89;01/03/2021;1;0;0;1;0;13.8;0;0;0;0;4;0;2;0;0;9.094;null;332;null;0;0;0;0
200;01/11/2021;1;0;0;1;0;17.25;2;2;0;0;12;0;7;0;0;8.882;null;238;null;1;1;0;0
240;01/04/2022;1;1;0;1;0;6.9;1;0;0;0;0;0;5;0;0;9.245;9.204;59;1;1;0;7.9;0
400;01/11/2021;1;1;0;0;1;6.9;2;0;0;0;0;0;4;0;0;8.403;8.403;66;1;1;1;0;0
430;01/11/2021;1;1;0;1;0;4.6;3;0;0;0;1;0;12;0;0;8.272;8.081;77;1;1;0;-30.79;0
513;01/04/2022;1;0;0;1;0;3.45;4;1;0;0;7;0;11;0;0;8.328;null;312;null;0;0;68.96;0
519;01/06/2021;1;0;0;1;0;3.45;2;2;0;0;0;0;7;0;0;7.495;null;40;null;0;1;0;0
715;01/09/2021;1;0;0;0;1;3.45;2;2;0;0;0;0;2;0;0;7.277;null;118;null;1;0;0;0
759;01/06/2021;1;1;0;1;0;6.9;2;2;0;0;0;0;3;0;0;6.887;6.879;74;1;1;1;0;0
773;01/03/2021;1;0;0;0;1;6.9;0;0;0;0;1;0;5;0;0;6.597;null;191;null;1;0;10.54;1
821;01/04/2022;1;0;0;0;1;3.45;5;1;2;1;0;0;14;0;0;4.145;null;661;null;0;0;0;0
822;01/12/2020;1;1;0;0;1;3.45;0;0;0;0;0;0;8;0;0;6.226;6.226;78;1;1;1;0;0
859;01/12/2021;1;0;0;1;0;3.45;2;2;0;0;0;0;1;0;0;7.132;null;1;null;0;0;22.92;0
952;01/06/2021;1;0;0;0;1;6.9;2;2;0;0;0;0;2;0;0;6.457;null;190;null;1;0;0;0
958;01/01/2022;1;0;0;1;0;6.9;4;2;0;0;6;0;15;0;0;7.011;7.032;285;null;1;0;0;0
1013;01/02/2022;1;0;0;0;1;10.35;3;2;1;1;2;0;6;0;0;7.032;null;102;null;1;1;68.79;0
1060;01/11/2021;1;1;0;1;0;3.45;3;2;0;0;1;0;7;0;0;6.734;6.728;115;2;1;1;71.95;0
1113;01/01/2022;1;1;0;1;0;4.6;7;2;1;0;0;0;8;0;0;0.906;0.82;333;2;1;1;0;0
1162;01/09/2021;1;0;0;0;1;6.9;2;2;0;0;0;0;3;0;0;6.218;null;76;null;1;0;15.3;0
1197;01/04/2022;1;0;0;1;0;3.45;2;0;4;0;9;0;14;0;0;6.694;null;193;null;0;0;39.57;0
1236;01/06/2021;1;0;0;0;1;3.45;0;0;0;0;0;0;4;0;0;5.747;null;299;null;0;0;57.93;0
1256;01/09/2021;1;0;0;1;0;6.9;2;2;0;0;2;0;4;0;0;5.895;null;569;null;0;1;0;0
1486;01/08/2021;1;0;0;0;1;6.9;2;2;5;1;2;0;12;0;0;5.073;null;600;null;1;0;101.92;0
1519;01/04/2022;1;0;0;1;0;10.35;6;4;0;0;2;0;8;0;0;5.605;null;865;null;0;0;97.83;0
1651;01/01/2022;1;1;0;1;0;3.45;5;2;6;0;1;0;6;0;0;4.866;4.589;782;2;1;0;68.92;0
1652;01/04/2021;1;0;0;1;0;10.35;2;0;0;0;0;0;4;0;0;4.11;null;468;null;1;0;7.9;0
1674;01/10/2021;1;0;0;0;1;3.45;2;0;11;0;5;0;22;0;0;4.527;null;610;null;1;0;1022.8;0
1706;01/07/2021;1;1;0;1;0;10.35;3;2;0;0;1;0;5;0;0;4.124;1.656;609;1;1;1;0;0
1875;01/12/2020;1;0;0;1;0;6.9;0;0;0;0;3;0;17;0;0;2.777;null;112;null;1;1;272.68;0
1972;01/03/2022;1;0;0;0;1;10.35;5;1;7;0;1;0;11;0;0;3.61;null;909;null;0;0;146.77;0
2004;01/04/2022;1;1;0;0;1;10.35;4;1;1;0;0;0;1;0;0;3.5;3.538;456;1;1;1;78.64;0
2011;01/04/2021;1;0;0;0;1;3.45;2;2;0;0;0;0;5;1;0;2.567;null;2;null;1;1;0;0
2058;01/04/2022;1;1;0;0;1;3.45;5;3;3;0;2;0;12;0;0;3.395;3.384;392;2;1;1;0;0
2092;01/05/2021;1;0;0;1;0;3.45;2;2;0;0;0;0;6;0;0;2.363;null;115;null;1;1;0;0
2108;01/09/2021;0;0;0;0;1;null;2;0;0;0;0;0;3;0;0;2.648;null;631;null;1;1;12.9;0
2118;01/12/2021;1;0;0;1;0;3.45;2;2;0;0;2;0;6;0;0;2.852;null;699;null;0;1;35.93;1
2200;01/12/2021;0;0;0;0;1;null;4;2;0;0;0;0;5;0;0;2.64;null;518;null;0;0;38.7;1
2317;01/03/2022;1;0;0;0;1;6.9;7;1;1;0;22;0;20;0;0;2.597;null;627;null;0;1;1601.9;0
2514;01/11/2020;0;0;0;0;1;null;0;0;0;0;2;0;4;0;0;1.019;null;118;null;0;0;1404.42;1
2546;01/11/2021;1;0;0;0;1;3.45;1;1;0;0;1;0;21;0;0;2.003;null;287;null;1;1;0;0
2586;01/11/2021;1;0;0;1;0;20.7;2;0;0;0;0;0;3;0;0;1.989;null;727;null;1;1;0;0
2597;01/03/2021;1;1;0;1;0;3.45;3;2;2;0;2;0;17;0;0;1.304;1.282;475;2;1;1;0;0
2673;01/10/2020;1;0;1;0;0;3.45;0;0;0;0;0;0;1;0;0;0.86;null;252;null;1;1;0;0
2707;01/07/2021;1;0;0;1;0;6.9;2;2;1;0;1;0;2;0;0;1.591;null;579;null;1;1;76.92;0
2760;01/03/2022;1;0;0;1;0;3.45;8;2;1;0;2;0;8;0;0;2.223;null;138;null;1;1;216.61;0
2836;01/10/2020;1;1;0;1;0;3.45;1;1;0;0;1;0;1;0;0;0.728;0.75;274;1;1;0;0;0
2981;01/05/2021;0;0;0;1;0;null;2;0;0;0;1;0;10;0;0;1.239;null;446;null;0;0;368.15;1
3106;01/11/2021;1;0;0;0;1;5.75;7;0;0;0;1;0;20;0;0;1.683;null;614;null;1;1;0;0
3178;01/04/2022;0;0;0;1;0;null;2;0;0;0;6;0;13;0;0;2.046;2.059;626;null;0;1;1113.68;1
3184;01/12/2020;1;1;0;0;1;3.45;1;0;0;0;1;0;4;0;0;0.704;0.651;258;1;1;0;31.95;0
3198;01/02/2021;1;0;0;1;0;3.45;0;0;0;0;0;0;11;0;1;0.884;null;98;null;1;1;0;0
3202;01/07/2021;0;0;0;0;1;null;0;0;0;0;1;0;1;0;0;1.293;null;471;null;0;0;58.6;1
3210;01/10/2021;1;0;0;1;0;3.45;2;2;0;0;0;0;2;0;0;1.532;null;559;null;0;0;55.28;0
3212;01/07/2021;1;0;0;1;0;3.45;3;0;3;0;6;0;6;0;0;1.28;null;467;null;0;0;30.57;0
3262;01/11/2021;1;1;0;1;0;3.45;3;0;0;0;0;0;39;0;0;1.586;1.586;580;2;1;1;55.28;1
3396;01/05/2021;1;0;0;0;1;3.45;0;0;0;0;7;0;10;0;0;0.909;null;330;null;0;0;0;0
3422;01/09/2021;1;0;0;1;0;3.45;2;2;0;0;0;0;4;0;0;1.247;null;169;null;1;0;0;0
3479;01/12/2021;1;0;1;0;0;10.35;0;0;0;0;1;0;9;0;0;1.462;null;176;null;1;0;0;0
3483;01/07/2021;1;0;0;1;0;3.45;0;0;0;0;2;0;1;0;0;1.054;null;384;null;1;1;0;1
3492;01/06/2021;1;1;0;0;1;6.9;1;0;0;0;0;0;29;0;0;0.968;0.935;353;3;1;1;0;0
3596;01/03/2021;1;0;0;1;0;10.35;0;0;0;0;0;0;8;0;0;0.667;null;244;null;1;1;0;0
3630;01/09/2020;1;1;0;1;0;3.45;1;0;0;0;0;0;1;0;0;0.126;0.126;47;1;0;1;68.54;0
3693;01/11/2020;1;0;0;1;0;5.75;0;0;0;0;0;0;1;0;0;0.277;null;102;null;1;1;51.44;0
3834;01/02/2021;1;0;0;0;1;6.9;0;0;0;0;0;0;1;0;0;0.473;null;174;null;0;0;0;0
3835;01/04/2021;1;0;0;0;1;3.45;0;0;2;0;2;0;12;0;0;0.621;null;225;null;1;1;1735.2;0
3856;01/03/2021;1;0;0;1;0;5.75;0;0;0;0;3;0;7;0;0;0.522;null;189;null;1;1;30.32;0
3880;01/07/2021;1;0;0;1;0;3.45;0;0;0;0;2;0;3;0;0;0.847;null;307;null;1;1;7.9;1
3883;01/06/2021;1;0;0;0;1;6.9;2;2;0;0;0;0;4;0;0;0.785;null;166;null;1;1;0;0
3938;01/09/2021;1;1;0;0;1;4.6;3;0;1;0;0;0;22;0;0;0.997;0.962;363;2;1;1;0;0
3943;01/08/2021;1;0;0;1;0;4.6;0;0;0;0;1;0;15;0;0;0.901;null;327;null;1;1;0;1
3973;01/02/2021;1;1;0;0;1;6.9;2;0;0;0;0;0;3;1;0;0.414;0.417;153;1;0;0;0;0
3987;01/04/2021;0;0;0;0;1;null;1;1;0;0;0;0;9;1;0;0.578;null;51;null;0;1;13.9;1
4018;01/06/2021;1;1;0;1;0;3.45;0;0;3;0;2;0;4;0;0;0.726;0.653;264;1;0;0;0;0
4090;01/03/2021;1;0;0;1;0;6.9;1;1;4;0;5;0;10;0;0;0.398;null;144;null;1;1;7.9;0
4128;01/05/2021;1;0;0;0;1;3.45;0;0;0;0;0;0;9;0;0;0.591;null;214;null;1;1;80.52;0
4130;01/11/2020;1;0;0;1;0;3.45;0;0;0;0;0;0;2;0;0;0.091;null;33;null;0;0;21;1
4251;01/08/2021;1;0;0;0;1;10.35;0;0;0;0;0;0;2;0;0;0.78;null;284;null;1;1;73.7;0
4275;01/11/2020;1;0;0;0;1;3.45;0;0;0;0;0;0;3;0;0;0.005;null;2;null;1;0;0;1
4376;01/04/2021;1;0;0;1;0;4.6;0;0;0;0;1;0;3;0;0;0.325;null;118;null;1;1;0;1
4397;01/03/2022;0;0;0;0;1;null;6;3;0;0;1;0;3;0;0;1.306;null;474;null;0;0;27.8;0
4425;01/06/2021;0;1;0;1;0;null;1;0;1;0;0;0;7;0;0;null;0.519;196;1;0;0;50.74;0
4623;01/06/2021;0;0;0;0;1;null;3;2;0;0;0;0;5;0;0;0.422;null;153;null;0;0;13.9;0
4652;01/02/2021;1;0;0;0;1;10.35;2;2;0;0;1;0;4;1;0;0.07;null;4;null;1;0;0;0
4655;01/04/2022;1;0;1;0;0;10.35;0;0;0;0;0;0;4;0;0;1.239;null;451;null;1;1;0;0
4795;01/03/2022;1;0;0;1;0;4.6;4;2;0;0;4;0;9;0;0;1.073;null;389;null;0;0;33.46;1
4806;01/03/2021;1;1;0;0;1;3.45;1;0;0;0;0;0;3;0;0;0.065;0.059;24;1;0;1;0;0
4888;01/05/2021;1;1;0;0;1;6.9;2;0;0;0;0;0;9;0;0;0.161;0.043;60;1;0;1;13.9;0
4893;01/12/2021;0;1;0;0;1;null;2;0;1;0;5;0;22;1;0;0.742;0.704;264;null;1;0;0;1
4960;01/05/2021;1;1;0;1;0;4.6;1;0;1;0;0;0;4;0;0;0.124;0.089;31;2;0;1;0;0
5294;01/08/2021;1;0;1;0;0;3.45;0;0;1;1;0;0;1;0;0;0.124;null;45;null;1;1;14.53;1
5379;01/12/2021;1;1;0;1;0;6.9;1;0;0;0;1;0;5;0;0;0.382;0.36;141;1;1;1;123.13;0
5393;01/10/2021;1;1;0;0;1;4.6;2;0;1;0;0;0;4;0;0;0.199;0.188;74;1;0;1;44.38;0
5506;01/10/2021;1;1;0;0;1;3.45;1;0;2;0;0;0;2;0;0;0.078;0.067;29;2;0;1;0;0
5509;01/10/2021;1;0;1;0;0;6.9;0;0;0;0;0;0;1;0;0;0.075;null;26;null;1;1;4.9;0
5539;01/01/2022;1;0;1;0;0;6.9;0;0;0;0;0;0;2;0;0;0.298;null;108;null;0;0;-37.43;0
5544;01/02/2022;1;1;0;0;1;6.9;3;3;0;0;0;0;4;0;0;0.376;0.379;48;1;1;0;122.75;0
5600;01/03/2022;0;1;0;0;1;null;1;0;1;0;1;0;5;1;0;null;0.382;146;1;1;1;13.9;0
5646;01/04/2022;1;0;0;1;0;5.75;2;2;0;0;1;0;7;0;0;0.411;null;149;null;0;1;0;0
5668;01/01/2022;1;0;0;1;0;6.9;1;0;1;0;0;0;5;1;0;0.124;null;51;null;1;1;7.9;0
5675;01/01/2022;1;0;0;1;0;17.25;2;1;0;0;0;0;4;0;0;0.126;null;45;null;1;1;0;0
5781;01/03/2022;1;1;0;1;0;6.9;1;0;0;0;1;0;4;1;0;0.116;0.078;43;2;1;1;0;0
232;01/12/2020;1;1;0;1;0;3.45;1;0;31;0;9;0;46;0;0;7.922;1.973;104;1;1;1;0;0
404;01/04/2021;1;0;0;1;0;6.9;0;0;0;0;0;0;3;0;0;7.804;null;175;null;1;1;17.2;0
501;01/04/2021;1;1;0;0;1;3.45;0;0;0;0;0;0;16;0;0;7.376;6;292;2;1;0;89.57;0
653;01/06/2021;1;0;0;1;0;13.8;2;2;0;0;0;0;2;0;0;7.199;null;183;null;1;1;0;0
781;01/04/2021;1;1;0;0;1;4.6;3;2;2;0;10;0;85;0;0;6.664;6.664;42;2;0;1;59.13;0
1110;01/11/2021;1;1;0;0;1;3.45;2;0;6;1;10;0;23;0;0;6.565;6.452;145;1;0;0;55.64;0
1321;01/07/2021;1;0;1;0;0;3.45;0;0;0;0;0;0;11;0;0;5.559;null;265;null;0;0;0;0
1510;01/02/2021;1;1;0;0;1;6.9;0;0;0;0;0;0;25;0;0;4.446;4.457;209;2;0;1;1.39;0
1513;01/11/2020;1;0;0;0;1;3.45;0;0;0;0;0;0;3;0;0;4.207;null;151;null;0;0;196.76;0
1553;01/09/2020;1;0;0;1;0;3.45;0;0;0;0;1;0;7;0;0;3.887;null;188;null;0;0;30.63;0
1570;01/06/2021;1;0;0;0;1;6.9;2;2;2;0;0;0;15;0;0;4.599;null;204;null;1;0;27.8;0
1591;01/01/2022;1;0;0;1;0;3.45;4;2;0;0;3;0;6;0;0;5.089;null;683;null;0;1;0;0
1601;01/10/2021;1;0;0;1;0;3.45;1;1;3;0;1;0;16;0;0;4.82;null;127;null;0;0;7.9;1
1613;01/08/2021;1;0;0;0;1;3.45;2;0;0;0;0;0;1;0;0;4.589;null;438;null;0;0;0;0
1699;01/07/2021;1;0;1;0;0;3.45;0;0;0;0;1;0;1;0;0;4.148;null;287;null;1;0;0;0
1728;01/09/2020;1;0;0;1;0;4.6;0;0;0;0;0;0;7;0;0;3.194;null;432;null;1;0;39.86;0
1843;01/03/2022;1;1;0;1;0;3.45;4;2;0;0;9;0;12;0;0;4.153;4.159;664;2;0;0;77.03;0
1941;01/01/2022;1;1;0;1;0;6.9;2;0;4;0;2;0;7;0;0;3.567;3.53;227;1;1;0;0;0
2125;01/03/2021;1;0;0;1;0;3.45;0;0;0;0;0;0;3;0;0;2.065;null;467;null;0;0;30.13;0
2147;01/05/2021;1;0;0;1;0;3.45;3;0;5;0;9;0;11;0;0;2.199;null;497;null;0;1;1424.51;0
2198;01/08/2021;1;0;0;1;0;10.35;1;0;2;1;3;0;11;0;0;2.331;null;317;null;1;1;2429.99;0
2245;01/05/2021;1;0;0;1;0;10.35;2;2;0;0;0;0;3;0;0;1.933;null;47;null;0;0;0;0
2465;01/03/2021;0;1;0;1;0;null;4;4;4;0;3;0;10;0;0;1.392;1.296;506;null;0;0;457.05;0
2483;01/10/2020;1;0;0;1;0;4.6;0;0;0;0;0;0;3;0;0;0.962;null;351;null;1;1;0;1
2544;01/06/2021;0;0;0;0;1;null;0;0;0;0;5;0;8;0;0;1.581;null;574;null;0;0;62.39;1
2694;01/03/2021;1;1;0;1;0;6.9;3;0;1;0;0;0;6;0;0;1.258;1.245;458;1;1;1;0;0
2705;01/01/2021;1;0;0;1;0;10.35;0;0;0;0;0;0;5;0;0;1.091;null;398;null;0;1;171.55;0
2795;01/11/2020;1;0;0;1;0;13.8;0;0;0;0;0;0;0;0;0;0.849;null;310;null;1;0;33.89;1
2839;01/09/2021;1;0;0;1;0;6.9;4;2;0;0;0;0;4;0;0;1.667;null;607;null;1;1;0;0
2889;01/11/2021;1;0;0;1;0;3.45;2;2;0;0;0;0;6;0;0;1.806;null;660;null;1;1;7.9;0
2932;01/02/2022;1;1;0;0;1;3.45;5;2;0;0;4;0;60;0;0;2.024;2.019;316;2;1;1;0;0
2947;01/10/2020;1;1;0;1;0;3.45;1;0;0;0;0;0;15;0;0;0.677;0.667;247;1;1;1;20.63;0
3028;01/12/2020;0;1;0;0;1;null;1;0;0;0;0;0;3;0;0;0.806;0.801;294;null;0;1;183.59;0
3258;01/10/2020;0;1;0;0;1;null;1;0;0;0;1;0;2;0;0;0.5;0.328;125;null;1;1;0;0
3271;01/10/2020;0;0;0;1;0;null;0;0;0;0;1;0;18;0;0;0.497;null;181;null;0;1;55.16;0
3294;01/08/2021;1;1;0;1;0;4.6;2;2;1;0;0;0;3;0;0;1.288;1.153;470;1;1;1;0;0
3419;01/04/2022;1;0;0;1;0;5.75;4;2;0;0;0;0;3;0;0;1.817;null;661;null;1;1;7.9;0
3464;01/09/2020;1;0;0;1;0;3.45;0;0;0;0;0;0;2;0;0;0.237;null;27;null;0;0;0;0
3469;01/10/2021;1;0;0;0;1;3.45;2;2;0;0;1;0;4;0;0;1.312;null;479;null;0;0;445.47;0
3477;01/04/2021;1;1;0;0;1;3.45;2;1;1;0;6;0;5;0;0;0.804;0.742;292;1;1;1;0;0
3495;01/08/2021;1;0;0;0;1;10.35;2;0;0;0;0;0;1;0;0;1.134;null;414;null;0;1;0;0
3601;01/10/2020;1;0;1;0;0;6.9;0;0;0;0;0;0;4;0;0;0.218;null;79;null;1;1;0;0
3611;01/06/2021;1;1;0;1;0;3.45;1;0;0;0;0;0;4;0;0;0.911;0.901;333;2;0;1;0;0
3674;01/01/2021;1;0;0;1;0;3.45;0;0;0;0;0;0;3;0;0;0.46;null;168;null;0;0;27.98;0
3741;01/01/2021;1;1;0;0;1;6.9;0;0;0;0;0;0;5;0;0;0.425;0.425;157;1;0;1;104.83;0
3840;01/02/2021;1;0;0;0;1;3.45;0;0;0;0;0;0;4;0;0;0.473;null;172;null;1;0;0;0
4001;01/11/2021;1;1;0;1;0;4.6;2;0;2;0;0;0;3;0;0;1.148;1.11;418;2;1;0;55.47;0
4017;01/04/2022;1;1;0;0;1;6.9;6;4;0;0;1;0;37;0;0;1.559;1.427;476;1;1;1;87.71;0
4396;01/03/2022;1;0;0;0;1;10.35;4;3;0;0;0;0;4;0;0;1.29;null;414;null;0;1;198.53;0
4443;01/03/2021;1;0;0;1;0;4.6;3;0;0;0;0;0;8;0;0;0.269;null;47;null;0;0;0;0
4542;01/01/2021;1;0;0;0;1;4.6;2;2;0;0;1;0;4;0;0;0.043;null;11;null;1;0;0;1
4597;01/11/2021;1;0;0;1;0;3.45;5;1;0;0;1;0;8;0;0;0.855;null;311;null;0;0;79.58;0
4632;01/03/2021;1;1;0;1;0;5.75;4;2;0;0;0;0;5;0;0;0.169;0.054;25;1;1;1;81.22;0
4901;01/12/2021;0;1;0;1;0;null;2;0;0;0;6;0;15;0;0;0.742;0.737;273;null;0;0;147.58;1
4924;01/03/2022;0;0;0;0;1;null;4;2;0;0;2;0;4;0;0;0.952;null;347;null;0;1;0;0
4967;01/07/2021;1;0;0;0;1;5.75;2;2;0;0;0;0;3;0;0;0.285;null;103;null;1;1;0;0
4974;01/04/2021;1;0;0;0;1;6.9;2;2;0;0;0;0;3;0;0;0.059;null;13;null;1;1;0;0
4981;01/10/2021;1;1;0;0;1;4.6;1;1;0;0;0;0;3;0;0;0.524;0.522;193;1;1;0;38.69;0
5229;01/04/2022;1;1;0;1;0;4.6;1;0;2;0;0;0;7;0;0;0.839;0.79;309;1;0;0;0;0
5282;01/09/2021;1;1;0;0;1;4.6;1;0;1;0;1;0;4;0;0;0.215;0.194;82;1;1;1;81.02;0
5343;01/09/2021;1;0;0;1;0;3.45;0;0;0;0;0;0;3;0;0;0.159;null;62;null;1;1;7.9;1
5365;01/01/2022;1;1;0;0;1;3.45;2;0;0;0;0;0;12;0;0;0.481;0.481;177;2;1;1;13.9;0
5436;01/11/2021;1;1;0;1;0;4.6;2;0;0;0;0;0;3;0;0;0.239;0.239;88;1;1;1;0;0
5437;01/09/2021;1;0;0;1;0;6.9;2;0;0;0;1;0;2;0;0;0.073;null;26;null;1;1;0;0
5628;01/03/2022;1;0;0;0;1;5.75;2;0;0;0;0;0;3;0;0;0.36;null;128;null;1;0;16.3;0
5656;01/12/2021;1;0;0;0;1;6.9;2;1;0;0;0;0;3;0;0;0.075;null;28;null;0;1;0;0
5680;01/02/2022;1;0;1;0;0;10.35;0;0;0;0;0;0;3;0;0;0.126;null;47;null;0;1;0;0
61;01/12/2021;1;0;0;0;1;20.7;4;2;0;0;0;0;5;0;0;11.809;null;128;null;1;1;164.35;0
90;01/11/2020;1;0;0;1;0;3.45;0;0;0;0;0;0;1;0;0;8.753;null;279;null;1;1;42.33;0
357;01/03/2022;1;0;0;1;0;6.9;6;2;7;0;2;0;7;0;0;8.933;null;792;null;1;1;146.77;0
548;01/09/2020;1;1;0;0;1;6.9;0;0;6;0;0;0;4;0;0;6.696;6.696;61;3;1;1;61.14;0
558;01/02/2022;1;0;1;0;0;3.45;0;0;0;0;2;0;4;0;0;8.07;null;35;null;1;0;0;0
561;01/02/2022;0;0;0;1;0;null;4;1;0;0;0;0;2;0;0;8.083;null;496;null;1;1;0;0
571;01/04/2022;1;0;0;1;0;6.9;2;2;0;0;0;0;1;0;0;8.226;null;122;null;1;0;0;0
635;01/03/2022;1;0;0;0;1;3.45;4;1;0;0;1;0;2;0;0;8.022;null;195;null;1;1;0;0
661;01/01/2021;1;0;0;0;1;10.35;0;0;0;0;1;0;11;0;0;6.79;null;276;null;1;1;0;0
684;01/01/2021;1;0;0;0;1;4.6;2;2;0;0;7;0;5;0;0;6.734;null;18;null;1;1;343.02;0
795;01/03/2022;1;0;0;1;0;6.9;11;2;0;0;3;0;9;1;0;7.546;null;463;null;1;0;75.17;0
810;01/02/2022;1;1;0;0;1;6.9;5;0;0;0;0;0;8;0;0;7.427;7.427;389;1;1;1;13.9;0
823;01/08/2021;1;0;0;1;0;6.9;2;2;0;0;1;0;2;0;0;6.89;null;215;null;1;1;0;0
867;01/12/2021;1;0;0;1;0;3.45;2;2;0;0;0;0;3;0;0;7.126;null;232;null;1;0;37.64;0
981;01/09/2020;1;0;0;1;0;3.45;0;0;0;0;20;0;9;0;0;5.648;null;223;null;0;0;47.06;0
992;01/02/2022;1;0;1;0;0;3.45;0;0;0;0;2;0;1;0;0;7.054;null;435;null;1;0;31.16;0
1029;01/01/2022;1;1;0;0;1;3.45;2;0;4;0;1;0;34;0;0;6.917;6.927;361;1;1;1;29.12;0
1036;01/12/2020;1;1;0;1;0;10.35;0;0;0;0;1;0;3;0;0;5.844;5.844;308;null;1;1;89.81;0
1106;01/12/2020;1;0;0;0;1;10.35;0;0;6;1;1;0;6;0;0;5.68;null;181;null;0;0;77.07;0
1117;01/01/2022;1;1;0;0;1;3.45;4;1;1;0;3;0;5;0;0;6.726;6.726;260;2;1;1;0;0
1168;01/11/2021;1;1;0;1;0;3.45;2;0;0;0;1;0;4;0;0;6.366;6.349;272;1;1;0;54.24;0
1258;01/08/2021;1;0;1;0;0;13.8;0;0;0;0;0;0;11;0;0;5.817;null;361;null;1;1;0;0
1357;01/08/2021;1;0;0;1;0;4.6;0;0;0;0;4;0;8;0;0;5.522;null;341;null;0;0;70.02;1
1368;01/04/2022;1;0;0;0;1;3.45;6;2;1;0;12;0;39;0;0;6.175;null;120;null;0;0;532.1;0
1477;01/12/2020;1;1;0;1;0;6.9;2;2;1;0;7;0;8;0;0;4.438;4.438;1;2;1;1;216;0
1517;01/12/2021;1;1;0;0;1;4.6;4;2;2;0;3;0;12;0;0;5.261;4.54;775;1;0;0;0;0
1844;01/12/2020;0;0;0;1;0;null;0;0;0;0;2;0;7;0;0;2.906;null;281;null;0;1;172.9;1
1997;01/09/2021;1;1;0;1;0;3.45;0;0;5;0;1;0;7;0;0;3.008;3.027;341;1;1;0;32.26;0
2019;01/02/2022;0;0;0;0;1;null;4;1;2;0;0;0;2;0;0;3.28;3.296;489;null;1;1;0;0
2117;01/11/2021;1;1;0;1;0;3.45;2;0;0;0;2;0;5;0;0;2.785;0.462;173;2;0;1;0;0
2192;01/11/2021;0;1;0;0;1;null;5;3;5;0;0;0;4;0;0;2.57;2.591;382;null;1;0;0;0
2372;01/01/2021;1;1;0;1;0;4.6;0;0;1;0;1;0;8;0;0;1.355;1.363;189;1;1;1;0;0
2398;01/09/2021;1;1;0;0;1;4.6;6;0;1;0;10;0;11;0;0;1.968;1.766;658;3;1;0;0;0
2510;01/01/2021;1;1;0;0;1;4.6;3;0;0;0;1;0;7;0;0;1.188;0.151;67;1;0;0;75.87;0
2604;01/01/2021;1;1;0;1;0;10.35;3;2;0;0;0;0;9;0;0;1.151;0.804;421;2;0;1;0;0
2616;01/12/2020;0;1;0;0;1;null;4;0;4;0;3;0;18;0;0;1.062;1.03;102;null;0;0;158.32;0
2638;01/08/2021;1;1;0;1;0;4.6;3;2;2;0;0;0;7;0;0;1.683;1.656;613;1;1;0;0;0
2667;01/11/2021;1;1;0;1;0;6.9;4;1;1;0;0;0;4;0;0;1.946;1.93;711;2;1;0;68.11;1
2693;01/10/2020;1;1;0;1;0;3.45;3;0;0;0;0;0;8;0;0;0.847;0.661;309;1;1;1;45.84;0
2712;01/11/2020;0;1;0;1;0;null;2;0;4;0;2;0;8;0;0;0.911;0.772;318;null;0;1;506.31;0
2746;01/11/2021;1;0;1;0;0;5.75;0;0;0;0;8;0;28;0;0;1.866;null;251;null;0;0;960.05;1
2779;01/11/2020;1;0;0;1;0;6.9;1;0;0;0;2;0;10;0;0;0.884;null;306;null;1;1;29.83;1
2846;01/05/2021;1;1;0;0;1;5.75;2;2;1;0;1;0;7;0;0;1.32;1.315;481;2;1;1;57.13;0
2915;01/09/2020;1;0;1;0;0;6.9;0;0;0;0;0;0;1;0;0;0.61;null;223;null;1;1;38.89;0
2949;01/11/2020;1;0;0;1;0;6.9;0;0;1;0;1;0;4;0;0;0.753;null;275;null;1;1;206.4;0
3057;01/12/2020;1;0;0;1;0;3.45;8;0;0;0;7;0;15;0;0;0.78;null;284;null;0;0;0;0
3072;01/11/2020;1;0;0;1;0;6.9;0;0;0;0;5;0;6;0;0;0.696;null;222;null;1;1;0;0
3084;01/09/2020;1;0;1;0;0;3.45;0;0;0;0;0;0;6;0;0;0.53;null;192;null;1;0;4.9;0
3112;01/12/2021;1;0;0;1;0;10.35;6;4;0;0;3;0;9;0;0;1.747;null;557;null;1;1;0;0
3145;01/04/2022;1;1;0;1;0;3.45;6;3;0;0;1;0;4;0;0;2.078;1.925;759;2;1;0;61.64;1
3167;01/01/2021;1;0;0;1;0;3.45;0;0;0;0;0;0;3;0;0;0.812;null;298;null;0;1;45.94;0
3182;01/08/2021;1;1;0;0;1;3.45;5;1;0;0;0;0;14;0;0;1.401;0.626;151;1;0;0;96.7;0
3241;01/04/2022;1;0;0;0;1;3.45;5;3;0;0;3;0;5;0;0;2;null;729;null;0;0;0;0
3247;01/09/2020;1;0;0;1;0;5.75;0;0;0;0;0;0;3;0;0;0.435;null;160;null;1;1;0;0
3366;01/04/2021;1;1;0;1;0;3.45;0;0;0;0;0;0;3;0;0;0.726;0.731;267;1;1;1;0;0
